date,rank,album,artist
2025-11-15,129,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates
2025-11-15,130,35 Biggest Hits,Toby Keith
2025-11-15,131,Tropicoqueta,Karol G
2025-11-15,132,Child Of God,Forrest Frank
2025-11-15,133,Starting Over,Chris Stapleton
2025-11-15,134,Last Lap,Rod Wave
2025-11-15,135,Leather,Cody Johnson
2025-11-15,136,The Great American Bar Scene,Zach Bryan
2025-11-15,137,Religiously. The Album.,Bailey Zimmerman
2025-11-15,138,2014 Forest Hills Drive,J. Cole
2025-11-15,139,1989,Taylor Swift
2025-11-15,140,More Life,Drake
2025-11-15,141,Texas Forever,Hudson Westbrook
